"","date","collar","time","lat","long"
"1","2016-02-26","I9",2016-02-26 00:00:00,28.8668491831213,-30.7764639390285
"2","2016-02-26","I9",2016-02-26 01:00:00,29.7305501648805,-28.6276283320886
"3","2016-02-26","I9",2016-02-26 02:00:00,28.2552998273447,-29.3214805750751
"4","2016-02-26","I9",2016-02-26 03:00:00,28.1388056643369,-31.3000366781659
"5","2016-02-26","I9",2016-02-26 04:00:00,26.923602864326,-30.9818699921883
"6","2016-02-26","I9",2016-02-26 05:00:00,26.5346480355948,-30.9443493122476
"7","2016-02-26","I9",2016-02-26 06:00:00,27.8602198441428,-30.7099379903174
"8","2016-02-26","I9",2016-02-26 07:00:00,28.6976461935525,-31.3504522117738
"9","2016-02-26","I9",2016-02-26 08:00:00,28.9911072882199,-33.082158885349
"10","2016-02-26","I9",2016-02-26 09:00:00,28.9438464742382,-33.3404787215235
"11","2016-02-26","I9",2016-02-26 10:00:00,29.3174550633683,-33.6801653590869
"12","2016-02-26","I9",2016-02-26 11:00:00,28.9898341373283,-34.7364958394559
"13","2016-02-26","I9",2016-02-26 12:00:00,28.0951654117592,-35.1257568670589
"14","2016-02-26","I9",2016-02-26 13:00:00,29.5706663923621,-35.2921116824288
"15","2016-02-26","I9",2016-02-26 14:00:00,30.4163966811789,-36.0959294917545
"16","2016-02-26","I9",2016-02-26 15:00:00,27.2912413190943,-36.1300940834371
"17","2016-02-26","I9",2016-02-26 16:00:00,27.8244995577702,-34.4308590437853
"18","2016-02-26","I9",2016-02-26 17:00:00,28.0275788623405,-33.8522106572629
"19","2016-02-26","I9",2016-02-26 18:00:00,26.0432991861801,-31.7397615867569
"20","2016-02-26","I9",2016-02-26 19:00:00,26.0226981377709,-31.4606995602693
"21","2016-02-26","I9",2016-02-26 20:00:00,26.6503133264354,-31.2130579684424
"22","2016-02-26","I9",2016-02-26 21:00:00,26.837391186699,-31.5370771838905
"23","2016-02-26","I9",2016-02-26 22:00:00,28.7685953329472,-31.4828196201392
"24","2016-02-26","I9",2016-02-26 23:00:00,28.5492836870581,-32.0811609930498
