"","date","collar","time","lat","long"
"1","2016-02-26","A1",2016-02-26 00:00:00,24.9936981948886,-32.3409181647394
"2","2016-02-26","A1",2016-02-26 01:00:00,26.3424182789089,-31.2244083434445
"3","2016-02-26","A1",2016-02-26 02:00:00,26.5048127950861,-30.7334809284335
"4","2016-02-26","A1",2016-02-26 03:00:00,26.2354793638943,-30.7216538660695
"5","2016-02-26","A1",2016-02-26 04:00:00,27.6629614120649,-31.8667560984099
"6","2016-02-26","A1",2016-02-26 05:00:00,28.8581471196251,-31.4448082239498
"7","2016-02-26","A1",2016-02-26 06:00:00,28.8152090905773,-31.7074874229353
"8","2016-02-26","A1",2016-02-26 07:00:00,29.9455886589491,-32.827822213073
"9","2016-02-26","A1",2016-02-26 08:00:00,28.5454080891199,-33.8673023452787
"10","2016-02-26","A1",2016-02-26 09:00:00,27.165849895533,-33.2401015408176
"11","2016-02-26","A1",2016-02-26 10:00:00,24.6582423650236,-34.2325821505902
"12","2016-02-26","A1",2016-02-26 11:00:00,23.7388232810401,-34.3694684292749
"13","2016-02-26","A1",2016-02-26 12:00:00,22.3080787330679,-36.1319347842093
"14","2016-02-26","A1",2016-02-26 13:00:00,22.5372855912615,-36.445112456719
"15","2016-02-26","A1",2016-02-26 14:00:00,22.944548411178,-35.5879038221027
"16","2016-02-26","A1",2016-02-26 15:00:00,23.5728780934026,-34.6871419180791
"17","2016-02-26","A1",2016-02-26 16:00:00,22.7683683538448,-35.2639011291542
"18","2016-02-26","A1",2016-02-26 17:00:00,22.5950960449526,-36.053294245216
"19","2016-02-26","A1",2016-02-26 18:00:00,22.2998055823276,-35.5892027948006
"20","2016-02-26","A1",2016-02-26 19:00:00,21.9461783082138,-35.1825334114817
"21","2016-02-26","A1",2016-02-26 20:00:00,21.5692160024273,-34.7099228693815
"22","2016-02-26","A1",2016-02-26 21:00:00,22.6045681922611,-34.2964403030949
"23","2016-02-26","A1",2016-02-26 22:00:00,22.1159992177119,-34.7587424531713
"24","2016-02-26","A1",2016-02-26 23:00:00,21.6188561302495,-35.4367542721299
